('music', 'NN')
('during', 'IN')
('the', 'DT')
('second', 'JJ')
('module', 'NN')
('we', 'PRP')
('deal', 'VBP')
('with', 'IN')
('nuclear', 'JJ')
('physics', 'NNS')
('and', 'CC')
('its', 'PRP$')
('applications', 'NNS')
('and', 'CC')
('in', 'IN')
('this', 'DT')
('fifth', 'JJ')
('video', 'NN')
('we', 'PRP')
('go', 'VBP')
('into', 'IN')
('more', 'JJR')
('details', 'NNS')
('on', 'IN')
('the', 'DT')
('two', 'CD')
('other', 'JJ')
('types', 'NNS')
('of', 'IN')
('radioactivity', 'NN')
('that', 'WDT')
('is', 'VBZ')
('to', 'TO')
('say', 'VB')
('beta', 'NN')
('and', 'CC')
('gamma', 'NN')
('decays', 'NNS')
('the', 'DT')
('goals', 'NNS')
('for', 'IN')
('you', 'PRP')
('are', 'VBP')
('to', 'TO')
('be', 'VB')
('able', 'JJ')
('to', 'TO')
('characterize', 'VB')
('beta', 'NN')
('decays', 'NNS')
('of', 'IN')
('nuclei', 'NN')
('and', 'CC')
('their', 'PRP$')
('properties', 'NNS')
('to', 'TO')
('relate', 'VB')
('these', 'DT')
('properties', 'NNS')
('to', 'TO')
('those', 'DT')
('of', 'IN')
('the', 'DT')
('underlying', 'JJ')
('weak', 'JJ')
('interactions', 'NNS')
('and', 'CC')
('to', 'TO')
('be', 'VB')
('able', 'JJ')
('to', 'TO')
('characterize', 'VB')
('gamma', 'JJ')
('decays', 'NNS')
('of', 'IN')
('excited', 'JJ')
('nuclei', 'NN')
('neutron-rich', 'JJ')
('nucleus', 'NN')
('i.e', 'NN')
('one', 'NN')
('that', 'WDT')
('has', 'VBZ')
('n/z', 'RB')
('larger', 'JJR')
('than', 'IN')
('what', 'WP')
('stability', 'NN')
('requires', 'VBZ')
('can', 'MD')
('transform', 'VB')
('into', 'IN')
('more', 'RBR')
('stable', 'JJ')
('nucleus', 'NN')
('by', 'IN')
('emitting', 'VBG')
('an', 'DT')
('electron', 'NN')
('and', 'CC')
('transforming', 'VBG')
('one', 'CD')
('of', 'IN')
('its', 'PRP$')
('neutrons', 'NNS')
('into', 'IN')
('proton', 'NN')
('in', 'IN')
('what', 'WP')
('is', 'VBZ')
('called', 'VBN')
('Ã\x83Â£Ã\x82Â\x9f-', 'JJ')
('decay', 'NN')
('to', 'TO')
('conserve', 'VB')
('lepton', 'JJ')
('number', 'NN')
('this', 'DT')
('emission', 'NN')
('must', 'MD')
('be', 'VB')
('accompanied', 'VBN')
('by', 'IN')
('the', 'DT')
('emission', 'NN')
('of', 'IN')
('an', 'DT')
('anti-neutrino', 'NN')
('in', 'IN')
('the', 'DT')
('contrary', 'JJ')
('case', 'NN')
('proton-rich', 'JJ')
('nuclei', 'NN')
('which', 'WDT')
('have', 'VBP')
('too', 'RB')
('many', 'JJ')
('protons', 'NNS')
('to', 'TO')
('be', 'VB')
('stable', 'JJ')
('can', 'MD')
('reach', 'VB')
('stability', 'NN')
('by', 'IN')
('Ã\x83Â£Ã\x82Â\x9f+', 'NNP')
('decay', 'NN')
('accompanied', 'VBN')
('by', 'IN')
('neutrino', 'DT')
('emission', 'NN')
('since', 'IN')
('the', 'DT')
('proton', 'NN')
('is', 'VBZ')
('lighter', 'JJR')
('than', 'IN')
('the', 'DT')
('neutron', 'NN')
('this', 'DT')
('latter', 'JJ')
('process', 'NN')
('can', 'MD')
('only', 'RB')
('happen', 'VB')
('for', 'IN')
('bound', 'NN')
('proton', 'NN')
('where', 'WRB')
