('music', 'NN')
('hello', 'NN')
('welcome', 'VB')
('back', 'RB')
('in', 'IN')
('the', 'DT')
('previous', 'JJ')
('lesson', 'NN')
('we', 'PRP')
('looked', 'VBD')
('at', 'IN')
('security', 'NN')
('requirements', 'NNS')
('of', 'IN')
('cyber-physical', 'JJ')
('systems', 'NNS')
('in', 'IN')
('this', 'DT')
('video', 'NN')
('lecture', 'NN')
('we', 'PRP')
('will', 'MD')
('learn', 'VB')
('about', 'IN')
('fundamental', 'JJ')
('security', 'NN')
('concepts', 'NNS')
('and', 'CC')
('methods', 'NNS')
('that', 'WDT')
('provide', 'VBP')
('security', 'NN')
('for', 'IN')
('cyber', 'JJ')
('physical', 'JJ')
('systems', 'NNS')
('confidentiality', 'NN')
('is', 'VBZ')
('one', 'CD')
('of', 'IN')
('the', 'DT')
('most', 'RBS')
('important', 'JJ')
('aspect', 'NN')
('of', 'IN')
('security', 'NN')
('confidentiality', 'NN')
('refers', 'NNS')
('to', 'TO')
('protecting', 'VBG')
('personal', 'JJ')
('privacy', 'NN')
('and', 'CC')
('proprietary', 'JJ')
('information', 'NN')
('from', 'IN')
('unauthorized', 'JJ')
('access', 'NN')
('it', 'PRP')
('is', 'VBZ')
('very', 'RB')
('important', 'JJ')
('to', 'TO')
('protect', 'VB')
('such', 'JJ')
('information', 'NN')
('from', 'IN')
('being', 'VBG')
('disclosed', 'VBN')
('to', 'TO')
('people', 'NNS')
('who', 'WP')
('are', 'VBP')
('not', 'RB')
('eligible', 'JJ')
('to', 'TO')
('access', 'NN')
('it', 'PRP')
('in', 'IN')
('most', 'JJS')
('of', 'IN')
('the', 'DT')
('cases', 'NNS')
('confidentiality', 'NN')
('is', 'VBZ')
('roughly', 'RB')
('equivalent', 'JJ')
('to', 'TO')
('privacy', 'NN')
('in', 'IN')
('cyber-physical', 'JJ')
('systems', 'NNS')
('due', 'JJ')
('to', 'TO')
('the', 'DT')
('heterogeneous', 'JJ')
('nature', 'NN')
('of', 'IN')
('the', 'DT')
('system', 'NN')
('and', 'CC')
('physically', 'RB')
('observable', 'JJ')
('outputs', 'NNS')
('or', 'CC')
('events', 'NNS')
('information', 'NN')
('flow', 'NN')
('is', 'VBZ')
('complex', 'JJ')
('resulting', 'VBG')
('in', 'IN')
('greater', 'JJR')
('risk', 'NN')
('of', 'IN')
('confidentiality', 'NN')
('and', 'CC')
('privacy', 'NN')
('violations', 'NNS')
('encryption', 'NN')
('is', 'VBZ')
('one', 'CD')
('of', 'IN')
('the', 'DT')
('most', 'RBS')
('efficient', 'JJ')
('methods', 'NNS')
('of', 'IN')
('protecting', 'VBG')
('confidentiality', 'NN')
('of', 'IN')
('data', 'NNS')
('in', 'IN')
('systems', 'NNS')
('cryptographic', 'JJ')
('solutions', 'NNS')
('however', 'RB')
('involves', 'VBZ')
('complex', 'JJ')
('computations', 'NNS')
('that', 'WDT')
('require', 'VBP')
('sufficient', 'JJ')
('amount', 'NN')
('of', 'IN')
('computing', 'VBG')
('power', 'NN')
('to', 'TO')
('be', 'VB')
('applicable', 'JJ')
('in', 'IN')
('the', 'DT')
('system', 'NN')
('using', 'VBG')
('encryption', 'NN')
('in', 'IN')
('cyber-physical', 'JJ')
('systems', 'NNS')
('has', 'VBZ')
('some', 'DT')
('restrictions', 'NNS')
('due', 'JJ')
('to', 'TO')
('limited', 'JJ')
('computing', 'NN')
('and', 'CC')
('storage', 'NN')
('capacity', 'NN')
('of', 'IN')
('devices', 'NNS')
('and', 'CC')
('in', 'IN')
('some', 'DT')
('cases', 'NNS')
('also', 'RB')
('limited', 'VBD')
('energy', 'NN')
('available', 'JJ')
('for', 'IN')
('devices', 'NNS')
('so', 'RB')
('in', 'IN')
('order', 'NN')
('to', 'TO')
('deal', 'VB')
('with', 'IN')
('this', 'DT')
('problem', 'NN')
('lightweight', 'JJ')
('cryptographic', 'JJ')
('mechanisms', 'NNS')
('should', 'MD')
('be', 'VB')
('applied', 'VBN')
('data', 'NNS')
('and', 'CC')
('cyber-physical', 'JJ')
('systems', 'NNS')
('must', 'MD')
('be', 'VB')
('encrypted', 'VBN')
('when', 'WRB')
('it', 'PRP')
('is', 'VBZ')
('stored', 'VBN')
('or', 'CC')
('transferred', 'VBN')
('in', 'IN')
('addition', 'NN')
('to', 'TO')
('encrypting', 'VBG')
('data', 'NNS')
('it', 'PRP')
('is', 'VBZ')
('also', 'RB')
('important', 'JJ')
('to', 'TO')
('limit', 'VB')
('access', 'NN')
('to', 'TO')
('data', 'NNS')
('the', 'DT')
('proper', 'JJ')
('access', 'NN')
('control', 'NN')
('system', 'NN')
('will', 'MD')
('guarantee', 'VB')
('that', 'DT')
('data', 'NN')
('is', 'VBZ')
('accessible', 'JJ')
('only', 'RB')
('to', 'TO')
('authorized', 'JJ')
('people', 'NNS')
('or', 'CC')
('devices', 'NNS')
('besides', 'IN')
('controlling', 'VBG')
('logical', 'JJ')
('access', 'NN')
('to', 'TO')
('computings', 'NNS')
('resources', 'NNS')
('network', 'NN')
('and', 'CC')
('data', 'NN')
('also', 'RB')
('physical', 'JJ')
('access', 'NN')
('to', 'TO')
('system', 'NN')
('components', 'NNS')
('such', 'JJ')
('as', 'IN')
('computing', 'VBG')
('hardware', 'NN')
('sensors', 'NNS')
('actuators', 'NNS')
('and', 'CC')
('even', 'RB')
('monitor', 'VB')
('environment', 'NN')
('if', 'IN')
('possible', 'JJ')
('needs', 'NNS')
('to', 'TO')
('be', 'VB')
('restricted', 'VBN')
('logical', 'JJ')
('access', 'NN')
('control', 'NN')
('is', 'VBZ')
('accomplished', 'VBN')
('by', 'IN')
('an', 'DT')
('access', 'NN')
('control', 'NN')
('policy', 'NN')
('some', 'DT')
('well-known', 'JJ')
('access', 'NN')
('control', 'NN')
('policies', 'NNS')
('are', 'VBP')
('role', 'NN')
('based', 'VBN')
('access', 'NN')
('control', 'NN')
('or', 'CC')
('rbac', 'NN')
('mandatory', 'JJ')
('access', 'NN')
('control', 'NN')
('or', 'CC')
('mac', 'NN')
('and', 'CC')
('identity', 'NN')
('based', 'VBN')
('access', 'NN')
('control', 'NN')
('or', 'CC')
('ibac', 'NN')
('confidentiality', 'NN')
('could', 'MD')
('be', 'VB')
('compromised', 'VBN')
('in', 'IN')
('different', 'JJ')
('ways', 'NNS')
('for', 'IN')
('example', 'NN')
('physical', 'JJ')
('network', 'NN')
('line', 'NN')
('could', 'MD')
('be', 'VB')
('attacked', 'VBN')
('by', 'IN')
('wire', 'NN')
('tapping', 'VBG')
('the', 'DT')
('line', 'NN')
('to', 'TO')
('monitor', 'VB')
('and', 'CC')
('record', 'NN')
('network', 'NN')
('communication', 'NN')
('in', 'IN')
('this', 'DT')
('case', 'NN')
('if', 'IN')
('the', 'DT')
('communication', 'NN')
('is', 'VBZ')
('not', 'RB')
('encrypted', 'VBN')
('the', 'DT')
('data', 'NNS')
('will', 'MD')
('be', 'VB')
('accessible', 'JJ')
('to', 'TO')
('the', 'DT')
('attacker', 'NN')
('password', 'JJ')
('attack', 'NN')
('is', 'VBZ')
('another', 'DT')
('type', 'NN')
('of', 'IN')
('confidentiality', 'NN')
('attack', 'NN')
('which', 'WDT')
('exploits', 'VBZ')
('passwords', 'NNS')
('using', 'VBG')
('different', 'JJ')
('cracking', 'NN')
('tools', 'NNS')
('such', 'JJ')
('tools', 'NNS')
('try', 'VBP')
('several', 'JJ')
('different', 'JJ')
('combinations', 'NNS')
('of', 'IN')
('most', 'JJS')
('commonly', 'RB')
('used', 'VBN')
('words', 'NNS')
('to', 'TO')
('crack', 'VB')
('password', 'NN')
('this', 'DT')
('is', 'VBZ')
('why', 'WRB')
('choosing', 'VBG')
('strong', 'JJ')
('password', 'NN')
('is', 'VBZ')
('very', 'RB')
('important', 'JJ')
('strong', 'JJ')
('password', 'NN')
('is', 'VBZ')
('more', 'RBR')
('difficult', 'JJ')
('to', 'TO')
('crack', 'VB')
('for', 'IN')
('the', 'DT')
('tools', 'NNS')
('you', 'PRP')
('can', 'MD')
('find', 'VB')
('some', 'DT')
('good', 'JJ')
('tips', 'NNS')
('on', 'IN')
('choosing', 'VBG')
('strong', 'JJ')
('password', 'NN')
('on', 'IN')
('the', 'DT')
('internet', 'NN')
('phishing', 'NN')
('or', 'CC')
('pharming', 'NN')
('is', 'VBZ')
('another', 'DT')
('way', 'NN')
('of', 'IN')
('acquiring', 'VBG')
('passwords', 'NNS')
('and', 'CC')
('other', 'JJ')
('sensitive', 'JJ')
('information', 'NN')
('in', 'IN')
('phishing', 'NN')
('attack', 'NN')
('the', 'DT')
('victim', 'NN')
('receives', 'VBZ')
('an', 'DT')
('email', 'NN')
('or', 'CC')
('another', 'DT')
('type', 'NN')
('of', 'IN')
('message', 'NN')
('that', 'WDT')
('appears', 'VBZ')
('to', 'TO')
('be', 'VB')
('send', 'VBN')
('by', 'IN')
('unknown', 'JJ')
('contact', 'NN')
('the', 'DT')
('email', 'NN')
('might', 'MD')
('contain', 'VB')
('malware', 'NN')
('infected', 'JJ')
('attachments', 'NNS')
('or', 'CC')
('provide', 'VB')
('link', 'NN')
('to', 'TO')
('fake', 'JJ')
('looking', 'VBG')
('page', 'NN')
('integrity', 'NN')
('is', 'VBZ')
('another', 'DT')
('aspect', 'NN')
('of', 'IN')
('security', 'NN')
('integrity', 'NN')
('involves', 'VBZ')
('maintaining', 'VBG')
('the', 'DT')
('consistency', 'NN')
('accuracy', 'NN')
('and', 'CC')
('trustworthiness', 'NN')
('of', 'IN')
('data', 'NNS')
('over', 'IN')
('its', 'PRP$')
('entire', 'JJ')
('lifecycle', 'NN')
('integrity', 'NN')
('ensures', 'VBZ')
('that', 'DT')
('information', 'NN')
('is', 'VBZ')
('not', 'RB')
